Breastfeeding children age group 6 to 23 months receiving an adequate diet (%),Deaths in the last 3 years registered with the civil authority (%),Population and household profile-households with any usual member covered under a health insurance or financing scheme (%),Married women age group 15 to 49 years using injectables as one of the family planning methods (%),Institutional births in public facility (%),Men age group 15 years and above who use any kind of tobacco (%),Elevated blood pressure or taking medicine to control blood pressure (%),Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),Mothers who had an antenatal check-up in the first trimester (%),Population living in households with electricity (%),Pregnant women age group 15 to 49 years who are anaemic (%),"Population and household profile-sex ratio of the total population (females per 1,000 males)",Women age 15 years and above who use any kind of tobacco (%),Women age group 15 to 24 years who use hygienic methods of protection during their menstrual period (%),Women registered for Ante Natal Care(ANC),Women discharged under 48 hours of delivery in public facilities,Women received first post partum check up within 48 hours of delivery,Women received post partum check up within 48 hours of delivery (to total reported deliveries) (%),Reported live births (to reported births) (%),Newborns having weight less than 25 kg (to newborns weighed at birth) (%),Complicated pregnancies treated with blood transfusion (to total women with obstetric complications) (%),Pregnant women given 360 calcium tablets to total Ante Natal Care (ANC) registrations (%),Pregnant women given one Albendazole tablet after first trimester (%),Facility based maternal death reviews done,Medical Termination of Pregnancies conducted at public institutions (to total abortions) (%),Emergency pills distributed,Newborns given Hep-B0 (Birth Dose) at birth (to total reports live births) (%),Immunization dropout between Bacillus Calmette Guerin (BCG) and measles vaccine (%),Children in In-patient Department (IPD) (to total patients in IPD) (%),Number of In-patient Department (IPD) deaths (to total patients in IPD) (%),Number of patients in In-patient Department (IPD) (to number of patients in Out-patients Department (OPD)) (%),"Patients given Ayurveda, Yoga and Naturopathy, Unani, Siddha, and Homoeopathy (AYUSH) treatment in Out-Patient Department (OPD) (to total number of patients in OPD) (%)",Deaths due to Sepsis (to total reported infant deaths) (%),IMR,srcStateName,srcDistrictName,IMR_capped
-0.4266719901727924,-0.2181686479374318,0.8618651771667595,-0.5034917060645219,0.5037052572097497,0.5537308629725222,-1.0759860937666152,0.03181859205867239,0.10682884826851505,-0.5775250438127851,0.849408180596061,0.40985832534234223,0.5448878734008984,-1.3127180944588406,0.6948945079906185,1.0695676878317961,0.6410508431691911,-0.36646642047335054,-1.4301789077156286,-0.2661728477245027,-0.18794518829874926,-0.22634120455872195,-0.23129791777110373,1.0105580964311074,1.4456344352115928,0.11195570743287919,-0.6208024585320928,0.001247642868354069,-1.562228747055321,0.12356079509484483,-0.5525960599394395,-0.49793092589377663,-0.63438079085739,10.544062496522406,assam,nagaon,10.544062496522406
-0.23636692964595324,0.09152223804860353,0.9521253147059984,-0.4125226731813667,0.3626704084851128,0.9882265032041718,0.1754187004831763,0.05945052726751966,-1.1727303904511528,0.19650819560704086,0.41582534025474643,-0.05780602949824943,0.5774748460545849,-0.9734054491141191,-0.8644595509105804,-0.6183919498120752,-0.36687795712038945,-0.4561545775012411,-0.6531787457666973,0.7902330070575714,-0.22063233292498785,-0.9045541907502398,-1.059992358643275,-0.2784590873736428,1.7189854492511358,-0.5495811986597334,-1.9180235463322288,-1.0562188054095996,-1.8541140523378072,-0.73045488517055,-1.127924961194049,-0.8188544593252036,-0.8972745984842343,20.790401611943036,assam,chirang,20.790401611943036
-0.23636692964595324,0.32263483953071936,1.132645589784476,-0.5034917060645219,-0.8207959308129208,-0.17992570987763998,0.7720186605324951,0.5476147159571536,0.04731446507225162,0.6187081443814911,-0.8379081739852001,1.2382923253456761,-0.53862896733417,1.0824299903274288,-1.0075023906431648,-0.5757733107183493,-0.4860373595359598,-0.4666588852906825,-0.6531787457666973,-1.181724588535634,-0.22063233292498785,0.12511684954383692,-0.8184504130867352,-0.32290795578070314,0.27469331257105134,-0.3086038748400567,-0.2753374551232684,1.3162632261137175,-1.297286700721987,-0.9202361474517488,-0.9087520464303882,0.6191298347040749,-0.9216166177089421,14.929499585291676,uttarakhand,champawat,14.929499585291676
0.49766687524328335,1.279441009666679,-0.03213999465046297,-0.2305846074150564,-0.6000457328091424,0.767417243414317,-1.3670104645223806,0.3081379441471444,1.490538257581645,0.4545192754136517,-2.4102989564277997,-0.2047862553052925,-0.3105201587583661,-0.20828869980739434,-0.7256554116548525,-0.5389456826974715,-0.5425154294797806,-0.4631895726262798,0.17562142697882638,-0.45984725443455,0.0024387151349915957,1.43101370871724,2.221380667693974,-0.32290795578070314,-1.0026970030368123,-0.6096901490956529,0.5365053028874694,-0.2517565073643367,-0.7674026080553198,-0.8727908318814491,0.5706651282243218,-0.041232051395207546,-0.7317488677562212,19.752235056522913,gujarat,jamnagar,19.752235056522913
-0.7665024553992907,0.4012131240346389,1.773062756134313,-0.3215536402982116,0.06220486120219282,1.0380866586405904,1.4559259318085438,0.21603149345098707,-1.135533900953488,0.29033040644580904,0.4367208988254121,0.24951626082556794,0.7892901683035455,-0.6607055602670228,-0.5954350842434707,-0.5973361537914429,-0.15268295100897133,2.0809088014048385,-1.7927789832917758,0.4909180148693174,-0.18245574416304505,0.20147195394950426,1.0997523779553608,-0.24882650843560253,-0.7411736771047498,-0.6157145821911447,-1.2236388894804913,0.4587761061634001,-0.46204567329825735,0.6929045819384412,0.5432685138788643,0.24883344997550527,-0.26438209864183104,15.922517734390441,chhattisgarh,jashpur,15.922517734390441
0.4432940008070435,0.47516915650891567,0.20855370545417395,-0.5034917060645219,1.1843517010547324,1.4298450227838808,-1.0177812196154623,-0.9122725275769403,-1.0090658366614276,0.17305264289735045,1.5285138341426991,0.19606890598664317,3.5591828438668784,-0.9933650164873379,-0.9150490618320604,-0.6488414596467286,-0.47861777102216274,-0.4249307635216173,-0.3941786917837129,-0.031415991106264196,-0.08980058102403796,-0.9708034725139808,-1.094681893377459,-0.30809166631168305,-0.1195629576782893,-0.511133131263785,-0.25115490488465064,-0.3562911562628739,0.06334787621021773,0.3607873729463431,2.351445060679066,-0.596676628488062,-0.12319838713852567,18.161043959348127,tripura,dhalai,18.161043959348127
-0.26355336686407327,0.30414583141214985,1.0423854522452374,-0.594460738947677,0.09899656086948885,-0.8209848512030248,0.29182844878548203,-0.06489318117229288,1.341752299590986,0.5248859335427263,0.776273725598731,-0.3651283198220668,-0.04167763436545437,-0.015346215199611197,-0.7519566367894907,-0.16970868175771386,-0.41930160711131576,0.20458886874040733,0.7454215457413877,-0.031415991106264196,-0.12606418167808384,0.8796849401410222,0.2749123298314322,-0.29327537684266286,0.19847043365617867,-0.6029888134051619,1.22398065967103,1.017809228533837,1.7203583015831012,-0.11366578275665365,0.20081083456064422,-0.7694816080280612,-0.17675082943288295,26.105891563906834,telangana,adilabad,26.105891563906834
1.3812260848321791,-2.062447207764716,-0.38028623944466994,0.2242605570007193,1.2395392505556775,0.7175570879778981,1.9943210177067103,-1.584649617658889,-2.3630180543764254,0.07923043205858227,-0.6968631536332064,0.5301148737299229,1.0744261790233003,0.6433195081166122,-1.0670126812293266,-0.5643514086944829,-0.5040795283263404,-0.0969201004085115,-0.6531787457666973,-0.806113617946452,0.02447966507380383,-0.651908624702075,-0.9700565278509463,-0.29327537684266286,2.0672451546380537,-0.6205205906156384,0.6522360790294249,0.9738743760982198,0.8851172741593715,1.0250217909305388,0.8583295788516266,-0.8743989170344892,1.2691651125147616,21.312300721597587,arunachal pradesh,east siang,21.312300721597587
-0.9432142973170698,0.08689998601896083,1.0767702665458998,1.1339508858322707,0.2829550592059708,0.9241205890716335,-1.0468836566910389,-0.2721326952386469,-1.2545626673460153,-2.3132359443299735,-0.22148919615055987,-0.2582336101442173,2.565280177929447,-1.2195734467171524,-0.2239724001942511,0.026305034049059664,0.610034530529548,-0.44381924358336505,-2.6215791560373214,0.13291380852650297,-0.20632650881375875,0.10602807344241966,0.7387242572032986,-0.04139845586932093,0.7556859622752468,-0.22913551018716327,-0.9628128119068288,0.8057099409136174,0.09478167831756253,1.1673577376414384,-0.36081975952123624,-0.7879964272644896,-0.5856967524079743,33.026516596718814,assam,karimganj,33.026516596718814
-0.5490109576543318,0.9697501236806436,1.3647430863139471,-0.5034917060645219,0.42398990793060676,-1.4620439925284094,0.45189185270115323,1.7910518003552778,-0.4957542815936538,0.29033040644580904,0.9382143045213904,1.6525093253473429,-0.22905272712415048,1.3219447988060553,-0.7994247615857539,-0.6888981767911762,-0.5565031783172667,-0.4118887177646962,1.5224217076903188,0.16225841560378304,-0.19800916921420694,-1.8253069203479961,-1.0420051924848093,-0.32290795578070314,-0.09065083119333761,-0.6388646509401137,1.9719123920511354,0.9935693099486689,-0.6955539175242464,-0.7779002007408496,-1.0731317325031338,-0.22020863734734938,1.1231129971665141,6.642289241504244,tamil nadu,ariyalur,6.642289241504244
